,subject,age,age_rounded,gender,question_type,trial_number,trial_type,correct,trial_name
349,FFK2PK,3.94,3,f,harder,2,simple,1,Number2
350,FFK2PK,3.94,3,f,harder,3,simple,1,Num_Stab
351,FFK2PK,3.94,3,f,harder,4,simple,1,Stability1
352,FFK2PK,3.94,3,f,harder,5,simple,1,Number4
353,FFK2PK,3.94,3,f,harder,6,simple,1,Number3
354,FFK2PK,3.94,3,f,harder,7,complex,0,Process3
355,FFK2PK,3.94,3,f,harder,8,complex,0,Probability
356,FFK2PK,3.94,3,f,harder,9,complex,0,Process2
357,FFK2PK,3.94,3,f,harder,10,complex,0,Process1
358,FFK2PK,3.94,3,f,harder,11,agent,1,Child_Adult
359,FFK2PK,3.94,3,f,harder,12,agent,0,Cooperation
360,FFK2PK,3.94,3,f,harder,13,agent,1,Sling
361,KXGY2c,3.94,3,m,easier,1,simple,0,Number4
362,KXGY2c,3.94,3,m,easier,2,simple,1,Number3
363,KXGY2c,3.94,3,m,easier,3,simple,0,Number2
364,KXGY2c,3.94,3,m,easier,4,simple,0,Num_Stab
365,KXGY2c,3.94,3,m,easier,5,simple,1,Stability1
366,KXGY2c,3.94,3,m,easier,6,simple,0,Number1
367,KXGY2c,3.94,3,m,easier,7,complex,0,Process2
368,KXGY2c,3.94,3,m,easier,8,complex,1,Probability
369,KXGY2c,3.94,3,m,easier,9,complex,0,Process3
370,KXGY2c,3.94,3,m,easier,10,complex,0,Process1
371,KXGY2c,3.94,3,m,easier,11,agent,0,Cooperation
372,KXGY2c,3.94,3,m,easier,12,agent,1,Sling
373,KXGY2c,3.94,3,m,easier,13,agent,1,Child_Adult
374,ccJCCB,3.2,3,f,harder,1,simple,0,Stability1
375,ccJCCB,3.2,3,f,harder,2,simple,1,Number4
376,ccJCCB,3.2,3,f,harder,3,simple,1,Number1
377,ccJCCB,3.2,3,f,harder,4,simple,0,Number3
378,ccJCCB,3.2,3,f,harder,5,simple,0,Number2
379,ccJCCB,3.2,3,f,harder,6,simple,0,Num_Stab
380,ccJCCB,3.2,3,f,harder,7,complex,1,Process3
381,ccJCCB,3.2,3,f,harder,8,complex,1,Process2
382,ccJCCB,3.2,3,f,harder,9,complex,1,Probability
383,ccJCCB,3.2,3,f,harder,10,complex,0,Process1
384,ccJCCB,3.2,3,f,harder,11,agent,1,Child_Adult
385,ccJCCB,3.2,3,f,harder,12,agent,1,Cooperation
386,ccJCCB,3.2,3,f,harder,13,agent,0,Sling
387,H76HBd,3.94,3,f,harder,1,simple,1,Num_Stab
388,H76HBd,3.94,3,f,harder,2,simple,1,Number3
389,H76HBd,3.94,3,f,harder,3,simple,1,Number2
390,H76HBd,3.94,3,f,harder,4,simple,1,Stability1
391,H76HBd,3.94,3,f,harder,5,simple,1,Number1
392,H76HBd,3.94,3,f,harder,6,simple,1,Number4
393,H76HBd,3.94,3,f,harder,7,complex,0,Process2
394,H76HBd,3.94,3,f,harder,8,complex,0,Process3
395,H76HBd,3.94,3,f,harder,9,complex,0,Probability
396,H76HBd,3.94,3,f,harder,10,complex,1,Process1
397,H76HBd,3.94,3,f,harder,11,agent,1,Sling
398,H76HBd,3.94,3,f,harder,12,agent,1,Child_Adult
399,H76HBd,3.94,3,f,harder,13,agent,0,Cooperation
400,C43R6F,3.45,3,f,harder,1,simple,0,Num_Stab
401,C43R6F,3.45,3,f,harder,2,simple,1,Number3
402,C43R6F,3.45,3,f,harder,3,simple,0,Stability1
403,C43R6F,3.45,3,f,harder,4,simple,1,Number2
404,C43R6F,3.45,3,f,harder,5,simple,1,Number1
405,C43R6F,3.45,3,f,harder,6,simple,0,Number4
406,C43R6F,3.45,3,f,harder,7,complex,0,Process3
407,C43R6F,3.45,3,f,harder,8,complex,0,Process1
408,C43R6F,3.45,3,f,harder,9,complex,1,Probability
409,C43R6F,3.45,3,f,harder,10,complex,1,Process2
410,C43R6F,3.45,3,f,harder,11,agent,1,Cooperation
411,C43R6F,3.45,3,f,harder,12,agent,1,Child_Adult
